curr_rate,balls_left,wickets_in_hand
3,118,10
2.4,115,10
2,114,10
3,114,10
4,114,10
3.428571429,113,10
3,112,10
3.5,108,10
3.230769231,107,10
4.714285714,106,10
4.4,105,10
4.125,104,10
4.235294118,103,10
4.333333333,102,10
4.421052632,101,10
4.5,100,10
4.285714286,99,10
4.090909091,98,10
3.913043478,97,10
3.75,96,10
3.6,95,10
4.384615385,94,10
4.222222222,93,10
4.285714286,92,10
4.965517241,91,10
5,90,10
5.612903226,89,10
5.625,88,10
5.636363636,87,10
5.647058824,86,10
5.485714286,85,10
5.333333333,84,10
5.189189189,83,10
5.368421053,82,10
5.230769231,81,10
5.7,80,10
5.707317073,79,10
5.857142857,78,10
5.860465116,77,10
6.272727273,76,10
6.266666667,75,10
6.260869565,74,10
6.255319149,73,10
6.375,72,10
6.979591837,71,10
7.32,70,10
7.882352941,69,10
7.730769231,68,9
7.698113208,67,9
7.666666667,66,9
7.527272727,65,9
7.5,64,9
7.473684211,63,9
7.344827586,62,9
7.220338983,61,8
7.1,60,8
7.081967213,59,8
6.967741935,58,8
6.952380952,57,8
7.03125,56,8
7.015384615,55,8
6.909090909,54,7
6.805970149,53,7
6.794117647,52,7
6.695652174,51,7
6.685714286,50,7
6.676056338,49,7
6.666666667,48,7
6.657534247,47,7
6.88,45,7
6.868421053,44,7
7.090909091,43,7
7.076923077,42,7
6.943820225,31,6
6.866666667,30,6
6.857142857,29,6
6.847826087,28,6
6.838709677,27,6
7.021276596,26,6
7.010526316,25,6
6.9375,24,6
6.927835052,23,6
7.224489796,22,6
7.212121212,21,6
7.38,20,6
7.366336634,19,6
7.647058824,18,6
7.805825243,17,6
7.961538462,16,6
7.942857143,15,6
7.867924528,14,6
7.85046729,13,6
8,12,6
8.036697248,11,6
8.290909091,10,6
8.432432432,9,6
8.486486486,9,6
8.464285714,8,6
8.495575221,7,6
8.421052632,6,5
8.473684211,6,5
8.608695652,5,5
8.637931034,4,5
8.769230769,3,5
8.694915254,2,5
8.924369748,1,5
